date,fund_index,sp500_index
2025-08-04,100.0,100.0
2025-08-05,100.13,99.51
2025-08-06,100.6,100.24
2025-08-07,101.55,100.16
2025-08-08,101.55,100.94
2025-08-11,101.34,100.69
2025-08-12,102.78,101.83
2025-08-13,103.07,102.16
2025-08-14,103.47,102.19
2025-08-15,104.09,101.89
2025-08-18,104.84,101.88
2025-08-19,104.89,101.29
2025-08-20,104.71,101.04
2025-08-21,104.8,100.64
2025-08-22,106.6,102.16
2025-08-25,106.14,101.73
2025-08-26,106.67,102.15
2025-08-27,106.28,102.39
2025-08-28,106.86,102.72
2025-08-29,106.09,102.06
2025-09-02,105.19,101.35
2025-09-03,107.14,101.87
2025-09-04,107.67,102.72
2025-09-05,108.0,102.39
2025-09-08,109.74,102.61
2025-09-09,111.12,102.89
2025-09-10,109.95,103.19
2025-09-11,110.72,104.07
2025-09-12,110.94,104.02
2025-09-15,113.83,104.51
2025-09-16,113.5,104.37
2025-09-17,112.48,104.27
2025-09-18,113.61,104.77
2025-09-19,114.98,105.28
2025-09-22,115.83,105.75
2025-09-23,115.83,105.17
2025-09-24,115.23,104.87
2025-09-25,115.1,104.34
2025-09-26,115.41,104.96
2025-09-29,115.96,105.23
2025-09-30,115.69,105.66
2025-10-01,116.02,106.02
2025-10-02,117.09,106.09
2025-10-03,117.43,106.1
2025-10-06,118.9,106.48
2025-10-07,116.85,106.08
2025-10-08,116.84,106.69
2025-10-09,115.7,106.4
2025-10-10,113.04,103.52
2025-10-13,115.6,105.13
2025-10-14,115.85,104.97
2025-10-15,116.32,105.39
2025-10-16,115.69,104.73
2025-10-17,116.19,105.28
2025-10-20,118.2,106.4
2025-10-21,116.87,106.4
2025-10-22,116.02,105.84
2025-10-23,116.83,106.45
2025-10-24,117.51,107.29
2025-10-27,119.4,108.61
2025-10-28,118.33,108.86
2025-10-29,117.44,108.86
2025-10-30,117.91,107.78
2025-10-31,117.98,108.06
2025-11-03,118.83,108.25
2025-11-04,115.95,106.98
2025-11-05,116.25,107.37
2025-11-06,115.24,106.17
2025-11-07,115.06,106.3
2025-11-10,117.29,107.94
2025-11-11,117.36,108.16
2025-11-12,118.28,108.23
2025-11-13,116.15,106.44
2025-11-14,115.02,106.39
2025-11-17,114.67,105.41
2025-11-18,113.69,104.54
2025-11-19,114.36,104.93
2025-11-20,110.88,103.3
2025-11-21,112.27,104.31
2025-11-24,114.88,105.93
2025-11-25,115.88,106.89
2025-11-26,117.36,107.63
2025-11-28,118.48,108.2
2025-12-01,118.29,107.63
2025-12-02,119.78,107.89
2025-12-03,121.34,108.21
2025-12-04,120.48,108.33
2025-12-05,121.27,108.54
2025-12-08,120.8,108.16
2025-12-09,120.17,108.07
2025-12-10,119.92,108.8
2025-12-11,120.87,109.02
2025-12-12,120.3,107.86
2025-12-15,119.6,107.69
2025-12-16,118.95,107.43
2025-12-17,117.16,106.18
2025-12-18,118.2,107.03
2025-12-19,118.78,107.97
2025-12-22,119.82,108.67
2025-12-23,120.38,109.16
2025-12-24,120.62,109.51
2025-12-26,120.98,109.48
2025-12-29,120.1,109.1
2025-12-30,120.48,108.95
2025-12-31,119.69,108.14
2026-01-02,120.61,108.35
2026-01-05,122.36,109.04
2026-01-06,124.6,109.71
2026-01-07,124.62,109.34
2026-01-08,125.1,109.34
2026-01-09,126.02,110.05
2026-01-12,125.65,110.23
2026-01-13,124.36,110.01
2026-01-14,123.51,109.43
2026-01-15,124.44,109.71
2026-01-16,124.23,109.64
2026-01-20,122.78,107.38
2026-01-21,124.22,108.62
2026-01-22,125.75,109.22
2026-01-23,125.89,109.25
2026-01-26,126.63,109.8
2026-01-27,124.94,110.25
2026-01-28,124.9,110.24
2026-01-29,126.89,110.1
2026-01-30,124.68,109.62
2026-02-02,125.72,110.21
2026-02-03,122.42,109.29
2026-02-04,120.51,108.73
2026-02-05,118.85,107.4
2026-02-06,118.44,109.52
2026-02-09,117.82,110.03
2026-02-10,117.22,109.67
2026-02-11,116.31,109.66
2026-02-12,114.86,107.94
2026-02-13,114.52,108.0
2026-02-17,114.41,108.11
2026-02-18,116.26,108.71
2026-02-19,115.31,108.4
2026-02-20,116.99,109.16
2026-02-23,113.47,108.02
2026-02-24,114.66,108.85
2026-02-25,116.97,109.73
2026-02-26,117.26,109.15
2026-02-27,118.97,108.67
2026-03-02,118.8,108.72
2026-03-03,118.68,107.69
2026-03-04,120.22,108.52
2026-03-05,120.73,107.91
2026-03-06,119.26,106.48
2026-03-09,119.26,107.36
2026-03-10,118.6,107.13
2026-03-11,118.5,107.04
2026-03-12,116.25,105.41
2026-03-13,114.96,104.77
2026-03-16,116.67,105.84
2026-03-17,118.04,106.1
2026-03-18,115.76,104.66
2026-03-19,114.73,104.37
2026-03-20,113.5,102.79
