Date	Fund NAV	S&P 500 NAV
9/17/2024	100.00	100.00
9/18/2024	99.56	99.70
9/19/2024	101.27	101.40
9/20/2024	101.18	100.92
9/23/2024	102.01	101.17
9/24/2024	101.19	101.46
9/25/2024	101.02	101.24
9/26/2024	101.14	101.64
9/27/2024	100.47	101.49
9/30/2024	100.56	101.90
10/1/2024	99.56	100.99
10/2/2024	99.65	101.03
10/3/2024	99.52	100.84
10/4/2024	101.30	101.76
10/7/2024	99.18	100.84
10/8/2024	101.00	101.79
10/9/2024	102.25	102.50
10/10/2024	102.32	102.32
10/11/2024	102.59	102.93
10/14/2024	102.42	103.77
10/15/2024	101.99	102.97
10/16/2024	102.05	103.42
10/17/2024	102.25	103.42
10/18/2024	102.86	103.82
10/21/2024	102.76	103.65
10/22/2024	102.95	103.60
10/23/2024	101.76	102.65
10/24/2024	102.36	102.87
10/25/2024	103.05	102.84
10/28/2024	103.40	103.15
10/29/2024	103.98	103.32
10/30/2024	104.07	103.01
10/31/2024	102.77	100.99
11/1/2024	105.14	101.42
11/4/2024	104.36	101.20
11/5/2024	109.69	102.42
11/6/2024	113.78	104.97
11/7/2024	113.81	105.78
11/8/2024	114.91	106.24
11/11/2024	116.45	106.34
11/12/2024	116.19	106.01
11/13/2024	117.25	106.06
11/14/2024	116.06	105.38
11/15/2024	117.55	104.03
11/18/2024	115.92	104.45
11/19/2024	116.62	104.84
11/20/2024	116.11	104.87
11/21/2024	116.32	105.43
11/22/2024	117.64	105.76
11/25/2024	118.17	106.12
11/26/2024	119.86	106.67
11/27/2024	119.93	106.35
11/28/2024	119.93	107.01
11/29/2024	120.72	107.01
12/2/2024	120.84	107.20
12/3/2024	122.81	107.25
12/4/2024	123.07	107.92
12/5/2024	124.05	107.74
12/6/2024	127.11	107.95
12/9/2024	124.40	107.39
12/10/2024	123.65	107.06
12/11/2024	125.09	107.88
12/12/2024	125.01	107.33
12/13/2024	125.37	107.31
12/16/2024	126.05	107.76
12/17/2024	125.12	107.32
12/18/2024	120.44	104.12
12/19/2024	121.66	104.09
12/20/2024	124.23	104.99
12/23/2024	124.35	105.62
12/24/2024	126.38	106.79
12/25/2024	126.38	106.80
12/26/2024	126.20	106.80
12/27/2024	124.27	105.67
12/30/2024	122.74	104.47
12/31/2024	121.76	104.09
1/1/2025	121.76	103.83
1/2/2025	121.98	103.83
1/3/2025	124.46	105.13
1/6/2025	125.21	105.73
1/7/2025	121.65	104.54
1/8/2025	121.18	104.69
1/9/2025	121.18	103.09
1/10/2025	119.58	103.09
1/13/2025	119.11	103.25
1/14/2025	119.56	103.40
1/15/2025	121.85	105.28
1/16/2025	122.29	105.07
1/17/2025	124.32	106.13
1/20/2025	124.32	107.10
1/21/2025	124.99	107.10
1/22/2025	125.99	107.70
1/23/2025	127.11	108.29
1/24/2025	126.89	107.97
1/27/2025	124.81	106.45
1/28/2025	126.27	107.36
1/29/2025	127.86	106.88
1/30/2025	129.10	107.45
1/31/2025	129.38	106.88
2/3/2025	129.16	106.16
2/4/2025	133.31	106.87
2/5/2025	132.27	107.31
2/6/2025	134.61	107.68
2/7/2025	134.08	106.70
2/10/2025	136.48	107.42
2/11/2025	135.28	107.50
2/12/2025	136.76	107.16
2/13/2025	138.94	108.29
2/14/2025	138.59	108.28
2/17/2025	138.59	108.60
2/18/2025	138.89	108.60
2/19/2025	136.73	108.86
2/20/2025	134.38	108.40
2/21/2025	131.07	106.55
2/24/2025	128.83	106.06
2/25/2025	127.46	105.54
2/26/2025	128.46	105.59
2/27/2025	125.24	103.90
2/28/2025	127.31	105.53
3/3/2025	124.59	103.68
3/4/2025	124.06	102.45
3/5/2025	126.81	103.55
3/6/2025	121.23	101.71
3/7/2025	122.24	102.28
3/10/2025	115.55	99.56
3/11/2025	115.23	98.73
3/12/2025	117.40	99.25
3/13/2025	114.21	97.93
3/14/2025	118.09	99.95
3/17/2025	119.04	100.72
3/18/2025	117.84	99.64
3/19/2025	119.18	100.72
3/20/2025	119.19	100.43
3/21/2025	119.37	100.16
3/24/2025	121.27	101.96
3/25/2025	121.93	102.20
3/26/2025	120.08	100.98
3/27/2025	119.62	100.71
3/28/2025	116.76	98.68
3/31/2025	116.60	99.35
4/1/2025	117.54	99.63
4/2/2025	118.24	100.26
4/3/2025	112.44	95.32
4/4/2025	107.93	89.74
4/7/2025	108.99	89.58
4/8/2025	106.87	88.17
4/9/2025	119.27	97.43
4/10/2025	115.96	93.16
4/11/2025	118.82	94.83
4/14/2025	118.93	95.75
4/15/2025	118.58	95.48
4/16/2025	115.94	93.36
4/17/2025	115.72	93.49
4/18/2025	115.72	91.26
4/21/2025	113.83	91.26
4/22/2025	116.27	93.64
4/23/2025	118.64	95.09
4/24/2025	121.92	97.09
4/25/2025	122.82	97.79
4/28/2025	122.67	97.83
4/29/2025	122.54	98.45
4/30/2025	122.34	98.49
5/1/2025	122.58	99.18
5/2/2025	124.44	100.66
5/5/2025	124.31	100.08
5/6/2025	124.47	99.24
5/7/2025	123.21	99.66
5/8/2025	124.66	100.35
5/9/2025	124.57	100.23
5/12/2025	129.18	103.54
5/13/2025	131.57	104.22
5/14/2025	131.75	104.35
5/15/2025	130.84	104.86
5/16/2025	131.46	105.53
5/19/2025	132.55	105.64
5/20/2025	132.07	105.29
5/21/2025	131.81	103.51
5/22/2025	132.62	103.51
5/23/2025	131.71	102.85
5/26/2025	131.71	104.99
5/27/2025	134.32	104.99
5/28/2025	133.68	104.99
5/29/2025	133.36	104.79
5/30/2025	133.51	104.67
6/2/2025	134.20	105.26
6/3/2025	134.02	105.86
6/4/2025	134.84	105.84
6/5/2025	135.04	105.32
6/6/2025	137.19	106.41
6/9/2025	$137.97	$106.50
6/10/2025	$138.44	$107.11
6/11/2025	$138.28	$106.80
6/12/2025	$138.30	$107.22
6/13/2025	$136.47	$106.03
6/16/2025	$138.36	$107.03
6/17/2025	$137.37	$106.12
6/18/2025	$137.00	$106.10
6/19/2025	$137.00	$105.54
6/20/2025	$135.67	$105.54
6/23/2025	$135.68	$106.59
6/24/2025	$138.95	$107.76
6/25/2025	$139.20	$107.82
6/26/2025	$140.88	$108.67
6/27/2025	$142.08	$109.21
6/30/2025	$144.21	$109.73
7/1/2025	$144.35	$109.69
7/2/2025	$145.22	$110.19
7/3/2025	$145.38	$111.06
7/7/2025	$144.99	$110.23
7/8/2025	$144.13	$110.17
7/9/2025	$145.03	$110.83
7/10/2025	$145.99	$111.14
7/11/2025	$146.67	$110.75
7/14/2025	$146.99	$110.96
7/15/2025	$146.35	$110.49
7/16/2025	$145.41	$110.86
7/17/2025	$145.45	$111.54
7/18/2025	$146.18	$111.46
7/21/2025	$146.25	$111.67
7/22/2025	$146.32	$111.68
7/23/2025	$145.93	$112.63
7/24/2025	$146.13	$112.67
7/25/2025	$146.70	$113.15
7/28/2025	$147.15	$113.12
7/29/2025	$145.44	$112.82
7/30/2025	$146.02	$112.68
7/31/2025	$143.75	$112.26
8/1/2025	$140.18	$110.42
8/4/2025	$142.32	$112.09
8/5/2025	$142.47	$111.53
8/6/2025	$143.42	$112.38
8/7/2025	$145.03	$112.29
8/8/2025	$146.12	$113.16
8/11/2025	$145.67	$112.94
8/12/2025	$147.52	$114.14
8/13/2025	$147.71	$114.53
8/14/2025	$148.61	$114.54
8/15/2025	$150.13	$114.27
8/18/2025	$150.92	$114.25
8/19/2025	$149.40	$113.63
8/20/2025	$148.23	$113.33
8/21/2025	$148.24	$112.87
8/22/2025	$151.65	114.6056441
8/25/2025	$151.08	$114.10
8/26/2025	$151.39	$114.58
8/27/2025	$150.78	$114.84
8/28/2025	$151.64	$115.25
8/29/2025	$151.34	$114.56
9/1/2025	$151.34	$113.71
9/2/2025	$150.02	$113.71
9/3/2025	$152.85	$114.33
9/4/2025	$154.67	$115.28
9/5/2025	$154.84	$114.95
9/8/2025	$158.74	$115.23
9/9/2025	$161.40	$115.50
9/10/2025	$159.77	$115.83
9/11/2025	$160.90	$116.79
9/12/2025	$160.46	$116.75
9/15/2025	$163.48	$117.38
9/16/2025	$163.73	$117.21
9/17/2025	$162.43	$117.07
9/18/2025	$163.70	$117.62
9/19/2025	$165.55	$117.87
9/22/2025	$165.94	$118.43
9/23/2025	$165.54	$117.78
9/24/2025	$164.77	$117.41
9/25/2025	$163.56	$116.87
9/26/2025	$163.84	$117.54
9/29/2025	$166.29	$117.87
9/30/2025	$166.37	$118.31
10/1/2025	$166.85	$118.72
10/2/2025	$168.77	$118.85
10/3/2025	$169.14	$118.85
10/6/2025	$170.43	$119.28
10/7/2025	$168.75	$118.83
10/8/2025	$169.76	$119.54
10/9/2025	$168.93	$119.20
10/10/2025	$164.05	$115.97
10/13/2025	$167.59	$117.75
10/14/2025	$167.46	$117.61
10/15/2025	$168.20	$118.13
10/16/2025	$167.10	$117.33
10/17/2025	$167.42	$117.99
10/20/2025	$170.34	$119.22
10/21/2025	$169.16	$119.22
10/22/2025	$168.26	$118.60
10/23/2025	$169.39	$119.30
10/24/2025	$171.11	$120.28
10/27/2025	$173.88	$121.70
10/28/2025	$173.01	$122.02
10/29/2025	$173.37	$122.08
10/30/2025	$172.77	$120.74
10/31/2025	$174.90	$121.13
11/3/2025	$176.41	$121.36
11/4/2025	$172.40	$119.92
11/5/2025	$173.95	$120.34
11/6/2025	$171.24	$119.05
11/7/2025	$171.45	$119.16
11/10/2025	$174.78	$121.02
11/11/2025	$174.90	$121.30
11/12/2025	$175.46	$121.37
11/13/2025	$171.18	$119.35
11/14/2025	$169.40	$119.33
11/17/2025	$169.01	$118.22
11/18/2025	$166.94	$117.23
11/19/2025	$168.37	$117.68
11/20/2025	$164.15	$115.89
11/21/2025	$167.22	$117.04
11/24/2025	$171.64	$118.76
11/25/2025	$174.08	$119.88
11/26/2025	$176.01	$120.71
11/27/2025	$176.01	$121.37
11/28/2025	$177.27	$121.37
12/1/2025	$176.51	$120.81
1/1/2026	$176.51	$121.33
1/2/2026	$176.58	$121.33
1/5/2026	$178.26	$122.14
1/6/2026	$181.69	$122.86
1/7/2026	$182.10	$122.47
1/8/2026	$183.21	$122.46
1/9/2026	$183.96	$123.27
1/12/2026	$183.12	$123.46
1/13/2026	$180.86	$123.21
1/14/2026	$179.58	$122.61
1/15/2026	$180.36	$122.94
1/16/2026	$179.45	$122.84
1/19/2026	$179.45	$120.34
1/20/2026	$176.78	$120.34
1/21/2026	$179.02	$121.73
1/22/2026	$180.49	$122.36
1/23/2026	$180.54	$122.41
1/26/2026	$180.96	$123.03
1/27/2026	$178.63	$123.52
1/28/2026	$178.72	$123.51
1/29/2026	$180.20	$123.26
1/30/2026	$177.20	$122.89
2/2/2026	$178.93	$123.50
2/3/2026	$174.92	$122.46
2/4/2026	$172.83	$121.87
2/5/2026	$170.59	$120.34
2/6/2026	$170.60	$122.65
2/9/2026	$169.42	$123.24
2/10/2026	$169.26	$122.92
2/11/2026	$167.97	$122.89
2/12/2026	$165.57	$120.99
2/13/2026	$165.15	$121.08
2/16/2026	$165.15	$121.27
2/17/2026	$164.94	$121.27
2/18/2026	$167.78	$121.88
2/19/2026	$166.48	$121.56
2/20/2026	$169.05	$122.44
2/23/2026	$164.53	$121.19
2/24/2026	$166.09	$122.07
2/25/2026	$169.25	$123.10
2/26/2026	$169.59	$122.42
2/27/2026	$172.14	$121.83
3/2/2026	$171.94	$121.90
3/3/2026	$171.23	$120.83
3/4/2026	$173.40	$121.68
3/5/2026	$173.94	$121.00
3/6/2026	$171.98	$119.41
3/9/2026	$172.18	$120.46
3/10/2026	$171.42	$120.27
3/11/2026	$171.26	$120.11
3/12/2026	$168.01	$118.29
3/13/2026	$166.36	$117.62
3/16/2026	$168.74	$118.82
3/17/2026	$170.67	$119.13
3/18/2026	$167.26	$117.47
3/19/2026	$165.57	$117.18
3/20/2026	$163.62	$115.18
